Species,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode
Abudefduf sordidus,Actinopterygii,Perciformes,0.300000012,15.2,25.1,2.69,3,28.4,2.547565,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf sparoides,Actinopterygii,Perciformes,0.439999998,10.6,46.9,3.03,6,26.9,2.456468,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf taurus,Actinopterygii,Perciformes,0.289999992,15.7,17.3,2.14,5,27.5,2.666142,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf troschelii,Actinopterygii,Perciformes,0.360000014,12.9,41,2.95,12,26.4,2.914503,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf vaigiensis,Actinopterygii,Perciformes,0.850000024,11.69938,43.7,2.57,15,28.2,1.260048,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abudefduf whitleyi,Actinopterygii,Perciformes,0.419999987,9.4,11.7,2.64,5,26.2,2.587846,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Abyssoberyx levisquamosus,Actinopterygii,Stephanoberyciformes,0.270000011,11.1,11.7,3.54,4565,4.019666667,3.974344,nonguarders,fusiform_normal,bathypelagic,subcarangiform
Abyssobrotula galatheae,Actinopterygii,Ophidiiformes,0.629999995,10.9,5.4,3.46,8370,1.4,1.704466,nonguarders_open_water_substratum_egg_scatterers,elongated,bathypelagic,anguilliform
Acanthaluteres brownii,Actinopterygii,Tetraodontiformes,0.189999998,31.6,9.5,2.79,50,17.1,4.489637,mixed,short_and_or_deep,reef_associated,balistiform
Acanthaluteres spilomelanurus,Actinopterygii,Tetraodontiformes,0.670000017,9.4,21.6,2.88,50,17.5,1.626858,mixed,short_and_or_deep,demersal,balistiform
Acanthaluteres vittiger,Actinopterygii,Tetraodontiformes,0.289999992,21.2,14.1,2,40,17.2,2.798481,mixed,short_and_or_deep,demersal,balistiform
Acanthanectes hystrix,Actinopterygii,Perciformes,3.75999999,2.8,49.8,3.13,24,21.3,0.3615647,guarders_nesters,fusiform_normal,demersal,subcarangiform
Acanthanectes rufus,Actinopterygii,Perciformes,3.710000038,2.8,49,3.13,25,21.7,0.3486923,guarders_nesters,elongated,reef_associated,subcarangiform
Acanthaphritis barbata,Actinopterygii,Perciformes,0.769999981,7,26.4,3.65,50,27.8,1.472718,bearers,elongated,demersal,subcarangiform
Acanthaphritis grandisquamis,Actinopterygii,Perciformes,0.74000001,0.9,161.6,3.66,217,24.4,2.152473,nonguarders,elongated,demersal,subcarangiform
Acanthaphritis ozawai,Actinopterygii,Perciformes,0.709999979,7.5,11.5,3.68,350,17.61425,1.592584,nonguarders,elongated,demersal,subcarangiform
Acanthaphritis unoorum,Actinopterygii,Perciformes,0.74000001,0.9,161.6,3.66,100,23.58017143,2.152473,nonguarders,elongated,demersal,subcarangiform
Acanthemblemaria aspera,Actinopterygii,Perciformes,0.69,3.1,20,3.12,30,27.9,1.900905,nonguarders_brood_hiders,elongated,reef_associated,anguilliform
Acanthemblemaria atrata,Actinopterygii,Perciformes,1.129200001,2.6,79.6,3.26,31,25.66713333,1.216475738,nonguarders_brood_hiders,elongated,demersal,anguilliform
Acanthemblemaria balanorum,Actinopterygii,Perciformes,0.827129999,3.9,26.4,3.4,5,26.2,1.481451924,nonguarders_brood_hiders,elongated,reef_associated,anguilliform
Acanthemblemaria betinensis,Actinopterygii,Perciformes,0.997300001,3.3,76.4,3.38,28.30166667,26.2571,1.305093001,nonguarders_brood_hiders,elongated,reef_associated,anguilliform
Acanthemblemaria castroi,Actinopterygii,Perciformes,0.873796667,4.5,54.5,3.43,23,23.8,1.42244456,nonguarders_brood_hiders,elongated,reef_associated,anguilliform
Acanthemblemaria chaplini,Actinopterygii,Perciformes,0.953877782,3.5,29.4,3.32,12,27.1,1.331555189,guarders,elongated,demersal,anguilliform
Acanthemblemaria crockeri,Actinopterygii,Perciformes,0.824006665,4.5,30.4,3.4,60,25.2,1.511211268,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria exilispinus,Actinopterygii,Perciformes,1.017153338,4.1,89.4,3.4,5,27.9,1.246603224,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria greenfieldi,Actinopterygii,Perciformes,1.220148339,2.8,84.6,3.31,21.03666667,27.90728333,1.077231547,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria hancocki,Actinopterygii,Perciformes,0.994796671,3.5,29.4,3.4,5,28.2,1.207016942,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria harpeza,Actinopterygii,Perciformes,0.769191668,0.9,161.6,3.32,5,26.53766667,2.204636523,guarders,elongated,demersal,anguilliform
Acanthemblemaria hastingsi,Actinopterygii,Perciformes,0.952500003,3.9,60.3,3.45,3,25.6,1.325268285,guarders,elongated,demersal,anguilliform
Acanthemblemaria johnsoni,Actinopterygii,Perciformes,1.282396072,1.7,48,3.08,14.82166667,28.03175965,1.0021804,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria macrospilus,Actinopterygii,Perciformes,0.773550002,4.5,24.7,3.4,15,28,1.611506282,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria mangognatha,Actinopterygii,Perciformes,1.205104421,2.5,81,3.25,31,26,1.110461749,guarders,elongated,demersal,anguilliform
Acanthemblemaria maria,Actinopterygii,Perciformes,0.96805,3.9,60.3,3.37,30,28,1.294496035,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria medusa,Actinopterygii,Perciformes,1.037529413,3.1,31.9,3.27,30,27.24825965,1.274643148,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria paula,Actinopterygii,Perciformes,1.364596078,1.6,50.9,3.04,2,27.80766917,0.973304714,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria rivasi,Actinopterygii,Perciformes,1.264749411,2.4,93.7,3.24,23.545,28.05475,1.0681344,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria spinosa,Actinopterygii,Perciformes,0.68,2.5,36.8,3.17,12,27.9,1.987531,guarders,elongated,reef_associated,anguilliform
Acanthemblemaria stephensi,Actinopterygii,Perciformes,0.874480001,3.8,27.7,3.4,10,26.65116667,1.352098826,guarders,elongated,reef_associated,anguilliform
Acanthistius brasilianus,Actinopterygii,Perciformes,0.180000007,34.1,4.1,4.01,200,8.1,4.805524,nonguarders,fusiform_normal,benthopelagic,subcarangiform
Acanthistius cinctus,Actinopterygii,Perciformes,0.219999999,29,10.6,4.1,98.5735,22.78142895,3.845176,nonguarders,fusiform_normal,reef_associated,subcarangiform
Acanthistius fuscus,Actinopterygii,Perciformes,0.270000011,23.8,17.5,4.03,156.6157143,20.51675,3.047927,nonguarders,fusiform_normal,pelagic_neritic,subcarangiform
Acanthistius joanae,Actinopterygii,Perciformes,0.589999974,9.4,21.6,3.74,140,17.9,1.846772,nonguarders,fusiform_normal,pelagic_neritic,subcarangiform
Acanthistius ocellatus,Actinopterygii,Perciformes,0.239999995,26.5,3.3,4.07,50,22.3,3.463828,nonguarders,fusiform_normal,reef_associated,subcarangiform
Acanthistius pardalotus,Actinopterygii,Perciformes,0.25,0.9,32.8,4.05,130.085,20.3425,6.309721,nonguarders,fusiform_normal,reef_associated,subcarangiform
Acanthistius patachonicus,Actinopterygii,Perciformes,0.280000001,19,4.1,4.01,190.495,16.1994,2.832541,nonguarders,fusiform_normal,demersal,subcarangiform
Acanthistius paxtoni,Actinopterygii,Perciformes,0.25,0.9,32.8,4.05,64,21.7,6.309721,nonguarders,fusiform_normal,reef_associated,subcarangiform
Acanthistius pictus,Actinopterygii,Perciformes,0.230000004,27.5,6.7,4.23,137.9147222,26.018,3.633375,nonguarders,short_and_or_deep,reef_associated,subcarangiform
Acanthistius sebastoides,Actinopterygii,Perciformes,0.300000012,21.2,12.5,3.98,30,22.1,2.697198,nonguarders,fusiform_normal,demersal,subcarangiform
Acanthistius serratus,Actinopterygii,Perciformes,0.219999999,29,3.1,4.1,25,18,3.845176,nonguarders,fusiform_normal,reef_associated,subcarangiform
Acanthocepola abbreviata,Actinopterygii,Perciformes,0.439999998,18.5,12.7,3.4,40,28.3,1.804505,nonguarders,elongated,benthopelagic,anguilliform
Acanthocepola indica,Actinopterygii,Perciformes,0.379999995,21.2,18.9,3.36,300,15.00933333,2.137788,nonguarders,elongated_compressed,benthopelagic,anguilliform
Acanthocepola krusensternii,Actinopterygii,Perciformes,0.340000004,23.8,17.5,3.37,50,21.5,2.43306,nonguarders,elongated,demersal,anguilliform
Acanthocepola limbata,Actinopterygii,Perciformes,0.270000011,29,7.8,3.4,100,24,3.140884,nonguarders,elongated,demersal,anguilliform
Acanthochaenus luetkenii,Actinopterygii,Stephanoberyciformes,0.414000005,8.705986,7.9,3.5,5397,2,2.669988,nonguarders,fusiform_normal,benthopelagic,subcarangiform
Acanthochromis polyacanthus,Actinopterygii,Perciformes,1.039999962,8.082556,13.3,2.69,65,27.8,1.079857,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Acanthoclinus fuscus,Actinopterygii,Perciformes,0.32,18.5,4.2,3.64,4,16.3,2.499356,guarders_nesters,elongated,demersal,labriform
Acanthoclinus littoreus,Actinopterygii,Perciformes,0.409999996,11.47678,6.7,3.37,63.3,19.18884127,1.986646,guarders_nesters,elongated,demersal,labriform
Acanthoclinus marilynae,Actinopterygii,Perciformes,0.419999987,11.2,5.9,3.69,80,17.893875,2.552693,guarders_nesters,elongated,demersal,labriform
Acanthoclinus matti,Actinopterygii,Perciformes,0.400000006,0.9,82.1,3.52,17,24.25715476,3.961075,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform
Acanthoclinus rua,Actinopterygii,Perciformes,0.600000024,7.9,7.5,3.41,80,19.1215,1.867505,guarders_nesters,elongated,demersal,labriform
Acanthocybium solandri,Actinopterygii,Perciformes,0.340000004,78.75789,10.6,4.26,20,24.7,2.895916,nonguarders_open_water_substratum_egg_scatterers,elongated_oval,pelagic_oceanic,thunniform
Acanthodraco dewitti,Actinopterygii,Perciformes,0.360966666,0.9,64.6,3.59,255,0.9,4.413504402,nonguarders,fusiform_normal,bathydemersal,subcarangiform
Acanthogobius elongatus,Actinopterygii,Perciformes,0.340000004,0.9,72.3,3.36,119.4870556,21.40325,4.650089,guarders,elongated_oval,pelagic_neritic,diodontiform
Acanthogobius flavimanus,Actinopterygii,Perciformes,0.31400001,24.57901,5.3,3.39,6,17.9,2.849717,guarders_nesters,elongated,demersal,diodontiform
Acanthogobius hasta,Actinopterygii,Perciformes,0.170000002,29,3.9,3.83,218.71,14.57882857,4.970227,guarders,fusiform_normal,demersal,diodontiform
Acanthogobius insularis,Actinopterygii,Perciformes,0.340000004,0.9,72.3,3.36,119.4870556,21.40325,4.650089,guarders,elongated_oval,pelagic_neritic,diodontiform
Acanthogobius lactipes,Actinopterygii,Perciformes,0.810000002,6.6,9.8,3.01,53.005,17.78687267,1.417027,guarders,fusiform_normal,demersal,diodontiform
Acanthogobius luridus,Actinopterygii,Perciformes,1.230000019,4.5,35.9,3.16,52.92035714,20.4943447,0.9921439,guarders,fusiform_normal,demersal,diodontiform
Acanthogobius stigmothonus,Actinopterygii,Perciformes,0.340000004,0.9,161.6,3.36,124.0891667,22.09666667,4.650089,guarders,elongated_oval,demersal,diodontiform
Acantholabrus palloni,Actinopterygii,Perciformes,0.340000004,15.7,4.4,3.5,500,9.9,2.275827,guarders_nesters,fusiform_normal,reef_associated,labriform
Acantholiparis caecus,Actinopterygii,Scorpaeniformes,1.379999995,3,12.9,3.27,2122,2.2,0.9162645,nonguarders,elongated,bathypelagic,subcarangiform
Acantholiparis opercularis,Actinopterygii,Scorpaeniformes,1.139999986,5,20.1,3.31,3610,1.7,1.040082,guarders,elongated_compressed,bathydemersal,diodontiform
Acantholumpenus mackayi,Actinopterygii,Perciformes,0.07,39.1,1.5,3.13,200,0.2,12.49625,guarders,eel_like,demersal,anguilliform
Acanthonus armatus,Actinopterygii,Ophidiiformes,0.300000012,22.5,3.3,3.62,4415,2.7,2.704385,nonguarders_open_water_substratum_egg_scatterers,elongated,bathypelagic,anguilliform
Acanthopagrus akazakii,Actinopterygii,Perciformes,0.349999994,12,27.8,3.31,20,23.688,3.021981,nonguarders,fusiform_normal,demersal,subcarangiform
Acanthopagrus arabicus,Actinopterygii,Perciformes,0.224999994,25.2422,5.4,3.17,50,27.2,3.676778,nonguarders,short_and_or_deep_compressed,pelagic_neritic,subcarangiform
Acanthopagrus australis,Actinopterygii,Perciformes,0.17,37.1,0,3.1,50,24.7,5.245541,nonguarders,short_and_or_deep,demersal,subcarangiform
Acanthopagrus berda,Actinopterygii,Perciformes,0.24,48.8,4.5,3.5,50,27.8,3.812229,nonguarders,short_and_or_deep_compressed,demersal,subcarangiform
Acanthopagrus bifasciatus,Actinopterygii,Perciformes,0.254000008,19.61339,9.2,3.39,20,27.6,3.136075,nonguarders,fusiform_normal_compressed,reef_associated,subcarangiform
Acanthopagrus butcheri,Actinopterygii,Perciformes,0.25,21.80156,4.5,3.47,50,17.6,3.330205,nonguarders,fusiform_normal_compressed,demersal,subcarangiform
Acanthopagrus catenula,Actinopterygii,Perciformes,0.189999998,21.9,18.5,3.39,67.29333333,26.3849,4.267147,nonguarders,short_and_or_deep_compressed,reef_associated,subcarangiform
Acanthopagrus chinshira,Actinopterygii,Perciformes,0.319999993,13.1,11.7,3.32,10,24.3,3.265948,nonguarders,short_and_or_deep,pelagic_neritic,subcarangiform
Acanthopagrus latus,Actinopterygii,Perciformes,0.230000004,28.22816,6.8,3.84,50,27.4,3.65757,nonguarders,short_and_or_deep_compressed,demersal,subcarangiform
Acanthopagrus longispinnis,Actinopterygii,Perciformes,0.330000013,12.9,26.5,3.32,197.2083333,20.2085,3.185821,nonguarders,short_and_or_deep_compressed,demersal,subcarangiform
Acanthopagrus morrisoni,Actinopterygii,Perciformes,0.189999998,26.5,10.7,3.39,124.96,22.494,4.36852,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,pelagic_neritic,subcarangiform
Acanthopagrus omanensis,Actinopterygii,Perciformes,0.439999998,9.7,32.1,3.27,253.874,16.98083333,2.46269,nonguarders,fusiform_normal_compressed,demersal,subcarangiform
Acanthopagrus pacificus,Actinopterygii,Perciformes,0.140000001,29,5.7,3.59,242.44,18.50266667,6.029562,nonguarders,fusiform_normal_compressed,pelagic_neritic,subcarangiform
Acanthopagrus palmaris,Actinopterygii,Perciformes,0.209999993,23.8,7.9,3.38,50,27.7,3.921621,nonguarders,fusiform_normal,reef_associated,subcarangiform
Acanthopagrus randalli,Actinopterygii,Perciformes,0.209999993,19.7,9,3.38,111.3325,21.02410714,3.792717,nonguarders,short_and_or_deep,benthopelagic,subcarangiform
Acanthopagrus schlegelii,Actinopterygii,Perciformes,0.280000001,23.09213,10.60235,3.24,50,23.7,2.94924964,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,subcarangiform
Acanthopagrus sheim,Actinopterygii,Perciformes,0.230000004,18.5,20.7,3.37,162.11,22.28825,3.439922,nonguarders,short_and_or_deep_compressed,demersal,subcarangiform
Acanthopagrus sivicolus,Actinopterygii,Perciformes,0.150000006,26.5,4.9,3.38,163.1020513,17.084,5.524125,nonguarders,fusiform_normal,demersal,subcarangiform
Acanthopagrus taiwanensis,Actinopterygii,Perciformes,0.310000002,12,12.5,3.32,188.6233333,20.061,3.437016,nonguarders,short_and_or_deep_compressed,demersal,subcarangiform
Acanthopagrus vagus,Actinopterygii,Perciformes,0.25999999,16.4,22.5,3.35,142.0466667,21.11525,2.970547,nonguarders,short_and_or_deep,demersal,subcarangiform
Acanthoplesiops cappuccino,Actinopterygii,Perciformes,3.019999981,1.4,119.5,3,30,28.20671429,0.4832979,guarders,elongated_oval,reef_associated,labriform
Acanthoplesiops echinatus,Actinopterygii,Perciformes,1.590000033,3.1,31.9,3.6,34,28.5,0.8136324,guarders_nesters,elongated_compressed,pelagic_neritic,labriform
Acanthoplesiops hiatti,Actinopterygii,Perciformes,2.119999886,2,43.3,3.5,18,28.8,0.6873676,guarders_nesters,elongated_oval,reef_associated,labriform
Acanthoplesiops indicus,Actinopterygii,Perciformes,1.289999962,3.8,27.7,3.55,7,28.1,0.9659515,guarders_nesters,elongated,demersal,labriform
Acanthoplesiops naka,Actinopterygii,Perciformes,4.809999943,0.9,73.4,2.57,32,26.59031667,0.3342266,guarders_nesters,elongated_oval,pelagic_neritic,labriform
Acanthoplesiops psilogaster,Actinopterygii,Perciformes,2.24000001,1.9,29.2,3.28,20,28.5,0.625535,guarders_nesters,elongated_compressed,demersal,labriform
Acanthopsetta nadeshnyi,Actinopterygii,Pleuronectiformes,0.1,27,0,3.35,900,2.1,8.563148,nonguarders,short_and_or_deep,demersal,anguilliform
Acanthosphex leurynnis,Actinopterygii,Scorpaeniformes,1.058300004,2.5,81,3.1,60,28,1.263147858,nonguarders,short_and_or_deep_compressed,demersal,subcarangiform
Acanthostracion guineensis,Actinopterygii,Tetraodontiformes,0.486268569,11.8,12.8,2.56,200,19.9,2.199158458,nonguarders,short_and_or_deep,demersal,ostraciiform
Acanthostracion notacanthus,Actinopterygii,Tetraodontiformes,0.349338574,29,4.6,2.36,25,26.2,2.638323495,nonguarders,short_and_or_deep,demersal,ostraciiform
Acanthostracion polygonius,Actinopterygii,Tetraodontiformes,0.325440407,29,5.5,2.03,80,25.9,2.691182063,nonguarders,short_and_or_deep,reef_associated,ostraciiform
Acanthostracion quadricornis,Actinopterygii,Tetraodontiformes,0.323987501,31.6,4.4,2.68,80,25.4,2.94029412,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,ostraciiform
Acanthurus achilles,Actinopterygii,Perciformes,0.560000002,15.2,26.9,2,10,27.4,1.375481,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus albimento,Actinopterygii,Perciformes,0.449999988,15.8,23.1,2.15,63.44895833,26.83379902,1.720002,nonguarders,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus albipectoralis,Actinopterygii,Perciformes,0.419999987,20.1,8.9,3.4,20,26.3,1.907482,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform
Acanthurus auranticavus,Actinopterygii,Perciformes,0.675999999,18.66722,21.7,2,20,28.5,1.191344,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus bahianus,Actinopterygii,Perciformes,1.200999975,11.3653,11.3,2.09,40,24.17061905,0.6783573,nonguarders,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus bariene,Actinopterygii,Perciformes,0.289999992,29,17.3,2,50,27.5,2.92772,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus blochii,Actinopterygii,Perciformes,0.25,20.81492,18.5,2,15,27.8,3.215595,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus chirurgus,Actinopterygii,Perciformes,0.704999983,12.30906,30.1,2.09,25,27.4,1.50818,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus chronixis,Actinopterygii,Perciformes,0.49000001,17.4,9.8,2.18,6,27.93155556,1.593431,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus coeruleus,Actinopterygii,Perciformes,0.112000003,23.31224,18.8,2,40,27.4,7.261052,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus dussumieri,Actinopterygii,Perciformes,0.296000004,23.19501,17.4,2,131,27.2,2.764767,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus fowleri,Actinopterygii,Perciformes,0.25999999,26.5,16.3,2,50,28.1,3.199688,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform
Acanthurus gahhm,Actinopterygii,Perciformes,0.349999994,23.8,27,2.76,40,28.6,2.360973,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus grammoptilus,Actinopterygii,Perciformes,0.400000006,21.2,18.9,2.11,91,27.3,2.030398,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus guttatus,Actinopterygii,Perciformes,0.519999981,16.3,20.1,2,8,28.2,1.499294,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus japonicus,Actinopterygii,Perciformes,0.639999986,13.5,11.7,2.27,20,28.7,1.654215,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus leucocheilus,Actinopterygii,Perciformes,0.25999999,26.5,16.3,2,40,28.5,3.199688,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus leucopareius,Actinopterygii,Perciformes,0.540000021,15.7,17.3,2,85,27.1,1.444039,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus leucosternon,Actinopterygii,Perciformes,0.270000011,31.1,15.8,2,25,27.5,3.1726,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus lineatus,Actinopterygii,Perciformes,0.699999988,15.04008,26.4,2,15,28.4,1.099648,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus maculiceps,Actinopterygii,Perciformes,0.289999992,23.8,19.8,2,15,28.6,2.848415,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus mata,Actinopterygii,Perciformes,0.218999997,22.06035,25.6,2.53,100,27.9,3.700248,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus monroviae,Actinopterygii,Perciformes,0.25999999,26.5,20.7,2.5,200,26.5,3.199688,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,labriform
Acanthurus nigricans,Actinopterygii,Perciformes,0.699999988,11.80494,27.9,2,67,27.4,1.526491,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus nigricauda,Actinopterygii,Perciformes,0.600000024,14.66137,34.4,2.99,30,28.4,1.275935,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus nigrofuscus,Actinopterygii,Perciformes,0.449999988,10.52993,29.1,2,25,27.7,2.400535,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus nigroris,Actinopterygii,Perciformes,0.540000021,15.7,26.3,2,90,27.4,1.444039,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus nubilus,Actinopterygii,Perciformes,0.519999981,16.3,35,3.4,90,27.5,1.499294,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
Acanthurus olivaceus,Actinopterygii,Perciformes,1.065999985,12.86035,31.6,2.26,46,27.3,0.7487872,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus polyzona,Actinopterygii,Perciformes,1.159999967,7.6,17.3,2.47,20,27.4,0.9719689,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus pyroferus,Actinopterygii,Perciformes,0.421999991,14.1184,29.8,2,60,27.6,1.797352,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus randalli,Actinopterygii,Perciformes,0.74000001,11.8,32.1,2,20,27.11876667,1.450054,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform
Acanthurus reversus,Actinopterygii,Perciformes,0.409999996,20.7,8.7,2.12,15,28,1.967014,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform
